filename,volume_rate(%),duration(s),memory(KB)
br07_079.json,84.19,0.004,194
br07_080.json,81.70,0.001,165
br07_081.json,78.43,0.001,153
br07_082.json,83.47,0.002,171
br07_083.json,82.74,0.003,177
br07_084.json,84.47,0.003,187
br07_085.json,85.53,0.001,152
br07_086.json,82.92,0.002,173
br07_087.json,80.45,0.001,158
br07_088.json,78.02,0.002,178
br07_089.json,81.54,0.001,150
br07_090.json,80.84,0.001,144
br07_091.json,82.59,0.001,150
br07_092.json,82.65,0.001,159
br07_093.json,76.98,0.001,139
br07_094.json,79.40,0.002,174
br07_095.json,78.20,0.002,181
br07_096.json,82.70,0.002,184
br07_097.json,77.86,0.001,162
br07_098.json,76.89,0.003,181
br07_099.json,84.25,0.002,180
br07_100.json,83.63,0.002,161
br08_001.json,79.55,0.002,189
br08_002.json,82.43,0.002,184
br08_003.json,74.28,0.002,185
br08_004.json,80.67,0.003,191
br08_005.json,77.89,0.002,194
br08_006.json,79.35,0.003,201
br08_007.json,74.74,0.001,163
br08_008.json,81.90,0.002,185
br08_009.json,74.40,0.002,166
br08_010.json,81.29,0.002,195
br08_011.json,81.84,0.002,180
br08_012.json,83.82,0.002,184
br08_013.json,80.33,0.003,202
br08_014.json,81.46,0.002,174
br08_015.json,81.49,0.001,166
